index,expected,predicted,correct,risk,score,semantic_source,llm_confidence,reason
0,True,True,True,high,12,groq_llama,0.8,"Urgency to act quickly | Threat of missing out on a 'revolution' | Use of sensational language ('shocking power', 'groundbreaking study') | Implication of exclusivity ('we do recommend the 6 month supply') | Use of a generic 'Click here' link"
1,True,True,True,high,12,groq_llama,0.8,"Urgency: The email creates a sense of urgency with the phrase 'Cheat your way into Ivy League' | Social Engineering: The email tries to manipulate the recipient into clicking on a link by creating a sense of exclusivity and prestige | Impersonation: The email is impersonating CNN, but the sender's email address is suspicious (issemma1977@it-energy.ru) | The email asks the recipient to click on a link to manage their settings, which could potentially lead to phishing | The email is impersonating CNN, but the sender's email address is suspicious (issemma1977@it-energy.ru)"
2,True,True,True,high,12,groq_llama,0.8,"Urgency (24/7 store open) | Emotional appeal (perfect sex, enhance sexual life) | Lack of personalization (generic greeting) | Suspicious link (http instead of https) | Potential phishing attempt ( Viagra and online pharmacy store)"
3,False,False,True,low,0,groq_llama,0.0,The email appears to be a genuine discussion about a technical issue with Nvidia compiz.
4,False,False,True,low,0,groq_llama,0.0,The email is a discussion thread from a mailing list and does not contain any suspicious language or intent.
5,False,True,False,medium,5,groq_llama,0.0,The email contains a long and complex conversation that may be used to distract the recipient and make them more susceptible to a potential phishing attack. | The email is a reply to a previous conversation and may be used to impersonate a legitimate sender. | The email's content and structure are unusual and may be indicative of a phishing attempt.
6,True,True,True,high,10,groq_llama,0.8,"Urgency (Try it today) | Emotional appeal (nothing to lose, lot to gain) | Testimonials from satisfied men and their girlfriends | Guaranteed results (up to 13 inches) | Impersonation of a reputable news source (foxnews.com)"
7,False,False,True,low,1,groq_llama,0.0,Sender uses a free email provider
8,False,True,False,medium,5,groq_llama,0.5,"The email is attempting to gather information about the organization's standard practices. | The sender is impersonating a colleague or someone familiar to the recipient. | The email's intent is to gather information, and the sender is impersonating a colleague."
9,True,True,True,high,8,groq_llama,0.7,"Urgency is not explicitly stated, but the email is trying to engage the user with a list of top 10 videos and stories. | The email is trying to create a sense of curiosity and interest in the user by providing a list of sensational and attention-grabbing headlines. | The email is impersonating CNN.com, but the sender's email address is not a legitimate CNN.com email address. | The email is trying to create a sense of trust by including a link to CNN.com's feedback page and privacy guidelines. | The email is semantically suspicious due to its attempt to engage the user with sensational and attention-grabbing headlines, and its attempt to impersonate CNN.com."
10,True,True,True,medium,5,groq_llama,0.0,"Urgency is not explicitly mentioned, but the email is trying to engage the user with a list of top 10 videos and stories. | The email is impersonating CNN.com, but the sender's email address is not a legitimate CNN.com address. | The email is trying to engage the user with a list of top 10 videos and stories, but the sender's email address is not legitimate."
11,False,False,True,low,0,groq_llama,0.0,
12,False,False,True,low,3,groq_llama,0.0,"Sender uses a free email provider | {'indicator': ""The sender's email address is not a typical opensuse email address, but rather a Gmail address."", 'confidence': 0.5} | The email appears to be a genuine question from a user seeking help with a technical issue."
13,True,True,True,high,8,groq_llama,0.7,"Urgency is not explicitly stated, but the email is trying to engage the user with a list of top 10 videos and stories. | The email is trying to create a sense of curiosity and interest in the user. | The sender's email address is not a typical CNN.com email address. | The email is trying to impersonate CNN.com by using their logo and branding. | The email is trying to engage the user with a list of top 10 videos and stories, and is using CNN.com's branding to impersonate the news organization."
14,False,True,False,high,12,groq_llama,0.8,Urgency: The email tries to create a sense of urgency by mentioning 'Todays most active topics' | Impersonation: The email is trying to impersonate a legitimate Google Groups notification | Urgency: The email mentions '9 new' and '2 new' messages to create a sense of urgency | Social Engineering: The email asks the recipient to add a suspicious domain to their mailing list | The email contains a link to a suspicious domain (STAMPOFFERSdomainsbyproxy com)
15,False,False,True,low,0,groq_llama,0.0,The email appears to be a genuine discussion about technical details of a server and does not contain any suspicious language or intent.
16,True,True,True,high,12,groq_llama,0.8,"Urgency is implied by the phrase 'large gt ment Does It Work Order' | Lack of clear language and grammatical errors | Unusual sender email address | Potential phishing attempt to gather sensitive information | Sender claims to be Gerald Mcmanus, but email address is suspicious"
17,False,False,True,low,1,groq_llama,0.0,Sender uses a free email provider
18,True,True,True,high,12,groq_llama,0.8,"Urgency: The email creates a sense of urgency by referencing a specific date (Fri 8 Aug 2008) to make the recipient feel like they need to act quickly. | Impersonation: The email is impersonating CNN, but the sender's email address (erolocit@mitsuichem.com) is not a legitimate CNN email address. | Lack of personalization: The email address is not personalized to the recipient, which is unusual for a legitimate email from a news organization. | The email asks the recipient to click on a link to manage their settings, which could potentially lead to a phishing site that steals their credentials. | The email is impersonating CNN, but the sender's email address is not a legitimate CNN email address."
19,True,False,False,low,0,groq_llama,0.0,
20,False,False,True,low,0,groq_llama,0.0,
21,True,True,True,high,8,groq_llama,0.7,"Urgency: The email creates a sense of urgency by mentioning a limited-time offer. | Personalization: The email uses a personalized greeting, but the recipient's name is likely generated randomly. | Lack of context: The email does not provide any context about the sender or the company. | Impersonation: The email may be impersonating a company or organization, but the sender's email address does not match any known companies. | The email's language and structure are typical of phishing emails, and it may be attempting to steal sensitive information or credentials."
22,False,False,True,low,0,groq_llama,0.0,
23,True,True,True,high,7,groq_llama,0.7,"Sender email is missing | Threat of regret to create a sense of urgency | Use of a psychologist endorsed products to gain trust | The email uses a sense of urgency and tries to gain trust with a psychologist endorsed product, but the link is not provided and the email body contains a suspicious link."
24,True,True,True,high,12,groq_llama,0.8,Urgency: None | Threat: None | Impersonation: None | Urgency: No deadline mentioned | Social engineering: Attempt to create a sense of urgency with a 'sale'
25,True,True,True,high,12,groq_llama,0.8,"Urgency is implied by the subject 'Re:' which may indicate a sense of importance or time sensitivity | The email contains a quote that may be used to create a sense of familiarity or trust | The email contains a suspicious link that is not provided, but the presence of a link is implied by the URL in the body | The email may be attempting to trick the recipient into clicking on a link that could lead to a phishing site | The sender's email address 'patentd0@waynesusedparts.com' may be a spoofed or fake email address"
26,True,True,True,high,12,groq_llama,0.8,Urgency: None | Threat: None | Impersonation: Possible (unsolicited offer) | Language: Informal and suspicious | Intent: Phishing or scam
27,True,True,True,high,10,groq_llama,0.8,"Unusual link in the email body | Lack of context for the link | No clear indication of impersonation, but unusual sender email | The email contains a suspicious link and an unusual sender email, which may be indicative of a phishing attempt."
28,False,False,True,low,0,groq_llama,0.0,
29,False,False,True,low,2,groq_llama,0.0,"{'indicator': ""The sender's email address is wqbf@boost-consulting.com, which may be a legitimate email address for the sender."", 'confidence': 0.5} | The email appears to be a legitimate discussion about a bug in a software project."
30,True,True,True,high,10,groq_llama,0.8,Urgency is implied by the use of 'Click Here' | The email uses a sensational claim to grab attention ('Is proved to be effective !') | The email uses a promise of a solution to a common problem ('solve in a safe and inexpensive way') | The email uses a sense of exclusivity and confidentiality ('Secure online ordering process discreet packing security of your private information are guaranteed') | The sender's email address is not a standard format for a company email address ('dwvisualhealthm@visualhealth.com')
