index,expected,protocol_only,llm_only,hybrid,hybrid_risk,hybrid_score,llm_confidence,semantic_source
0,True,False,True,True,high,12,0.8,groq_llama
1,True,False,True,True,high,12,0.8,groq_llama
2,True,False,True,True,high,12,0.8,groq_llama
3,False,False,False,False,low,0,0.0,groq_llama
4,False,False,False,False,low,0,0.0,groq_llama
5,False,False,False,True,medium,5,0.0,groq_llama
6,True,False,True,True,high,10,0.8,groq_llama
7,False,False,False,False,low,1,0.0,groq_llama
8,False,False,False,True,medium,5,0.5,groq_llama
9,True,False,True,True,high,10,0.8,groq_llama
10,True,False,False,True,medium,5,0.0,groq_llama
11,False,False,False,False,low,0,0.0,groq_llama
12,False,False,False,False,low,3,0.0,groq_llama
13,True,False,True,True,high,8,0.7,groq_llama
14,False,False,True,True,high,12,0.8,groq_llama
15,False,False,False,False,low,0,0.0,groq_llama
16,True,False,True,True,high,12,0.8,groq_llama
17,False,False,False,False,low,1,0.0,groq_llama
18,True,False,True,True,high,12,0.8,groq_llama
19,True,False,False,False,low,0,0.0,groq_llama
20,False,False,False,False,low,0,0.0,groq_llama
21,True,False,True,True,high,12,0.8,groq_llama
22,False,False,False,False,low,0,0.0,groq_llama
23,True,False,True,True,high,7,0.7,groq_llama
24,True,False,True,True,high,12,0.8,groq_llama
25,True,False,True,True,high,12,0.8,groq_llama
26,True,False,True,True,high,12,0.8,groq_llama
27,True,False,True,True,high,10,0.8,groq_llama
28,False,False,False,False,low,0,0.0,groq_llama
29,False,False,False,False,low,2,0.0,groq_llama
30,True,False,True,True,high,10,0.8,groq_llama
31,True,False,True,True,high,12,0.8,groq_llama
32,True,False,False,True,medium,5,0.5,groq_llama
33,True,False,True,True,high,12,0.8,groq_llama
34,False,False,False,False,low,1,0.0,groq_llama
35,False,False,False,False,low,0,0.0,groq_llama
36,False,False,False,False,low,0,0.0,groq_llama
37,False,False,False,False,low,0,0.0,groq_llama
38,False,False,True,True,high,12,0.8,groq_llama
39,True,False,False,True,medium,5,0.0,groq_llama
40,True,False,True,True,high,11,0.8,groq_llama
41,False,False,False,False,low,1,0.0,groq_llama
42,True,False,True,True,high,9,1.0,groq_llama
43,True,False,True,True,high,10,0.8,groq_llama
44,False,False,False,False,low,0,0.0,groq_llama
45,False,False,False,False,low,1,0.0,groq_llama
46,True,False,True,True,high,12,0.8,groq_llama
47,True,False,True,True,high,10,0.8,groq_llama
48,False,False,True,True,high,12,0.8,groq_llama
49,True,False,False,True,medium,5,0.0,groq_llama
50,False,False,False,False,low,0,0.0,rule_based_fallback
51,False,False,False,False,low,0,0.0,groq_llama
52,True,False,True,True,high,12,0.8,groq_llama
53,False,False,False,False,low,1,0.0,groq_llama
54,False,False,False,False,low,0,0.0,groq_llama
55,True,False,True,True,high,12,0.8,groq_llama
56,False,False,False,False,low,0,0.0,groq_llama
57,True,False,True,True,high,12,0.8,groq_llama
58,False,False,False,False,low,0,0.0,groq_llama
59,True,False,True,True,high,10,0.8,groq_llama
60,False,False,False,False,low,2,0.0,groq_llama
61,True,False,True,True,high,10,0.8,groq_llama
62,True,False,True,True,high,8,0.7,groq_llama
63,True,False,True,True,high,10,0.8,groq_llama
64,True,False,True,True,high,10,0.8,groq_llama
65,False,False,False,False,low,0,0.0,groq_llama
66,True,False,True,True,high,10,0.8,groq_llama
67,False,False,False,False,low,0,0.0,rule_based_fallback
68,True,False,True,True,high,12,0.8,groq_llama
69,False,False,False,False,low,0,0.0,groq_llama
70,True,False,True,True,high,8,0.7,groq_llama
71,False,False,False,False,low,2,0.0,groq_llama
72,False,False,False,False,low,0,0.0,groq_llama
